idx,name,ms,sm_clock_mhz
0,000000.npy,22.591,1620
1,000001.npy,17.218,
2,000002.npy,15.392,
3,000003.npy,18.283,
4,000004.npy,18.301,
5,000005.npy,16.859,
6,000006.npy,17.338,
7,000007.npy,16.292,
8,000008.npy,16.020,
9,000009.npy,17.401,
10,000010.npy,17.698,1620
11,000011.npy,15.321,
12,000012.npy,14.988,
13,000013.npy,15.429,
14,000014.npy,15.936,
15,000015.npy,17.374,
16,000016.npy,17.495,
17,000017.npy,17.513,
18,000018.npy,15.230,
19,000019.npy,15.251,
20,000020.npy,17.577,1620
21,000021.npy,16.270,
22,000022.npy,16.481,
23,000023.npy,18.149,
24,000024.npy,17.715,
25,000025.npy,18.785,
26,000026.npy,18.444,
27,000027.npy,15.183,
28,000028.npy,15.551,
29,000029.npy,15.364,
30,000030.npy,15.508,1620
31,000031.npy,15.159,
32,000032.npy,15.188,
33,000033.npy,15.165,
34,000034.npy,15.352,
35,000035.npy,15.047,
36,000036.npy,15.320,
37,000037.npy,15.076,
38,000038.npy,18.910,
39,000039.npy,18.072,
40,000040.npy,17.970,1620
41,000041.npy,16.457,
42,000042.npy,19.109,
43,000043.npy,17.299,
44,000044.npy,15.622,
45,000045.npy,15.599,
46,000046.npy,15.853,
47,000047.npy,15.220,
48,000048.npy,15.292,
49,000049.npy,15.225,
50,000050.npy,15.355,1620
51,000051.npy,15.222,
52,000052.npy,15.028,
53,000053.npy,15.079,
54,000054.npy,16.163,
55,000055.npy,17.157,
56,000056.npy,18.873,
57,000057.npy,17.062,
58,000058.npy,15.831,
59,000059.npy,17.779,
60,000060.npy,15.493,1620
61,000061.npy,15.264,
62,000062.npy,19.075,
63,000063.npy,16.645,
64,000064.npy,16.712,
65,000065.npy,18.024,
66,000066.npy,15.416,
67,000067.npy,15.394,
68,000068.npy,15.379,
69,000069.npy,15.528,
70,000070.npy,15.458,1620
71,000071.npy,14.839,
72,000072.npy,17.346,
73,000073.npy,20.428,
